,container,first_date,first_location,first_status,last_date,last_location,last_status
1408,HLXU3175806,2019-04-03 10:53:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
1409,HLXU3460568,2019-04-04 14:50:00,CALLAO,Gate out empty,2019-05-02 00:00:00,"DETROIT, MI",Arrival in
1410,HLXU3496961,2019-04-02 17:23:00,CALLAO,Gate out empty,2019-06-01 06:00:00,BUSAN,Vessel arrival
1411,HLXU5371182,2019-04-15 12:20:00,CALLAO,Gate out empty,2019-04-24 14:00:00,"MANZANILLO, COL (MX)",Vessel arrival
1412,UACU8325946,2019-04-13 18:06:00,CALLAO,Gate out empty,2019-05-11 22:00:00,"MAZATLAN, SIN",Vessel arrival
1413,UACU8543573,2019-04-12 09:22:00,CALLAO,Gate out empty,2019-05-11 22:00:00,"MAZATLAN, SIN",Vessel arrival
1414,HLXU1365279,2019-04-06 09:06:00,CALLAO,Gate out empty,2019-05-26 19:00:00,SANTOS,Vessel arrival
1415,UACU4067118,2019-04-06 10:45:00,CALLAO,Gate out empty,2019-04-25 07:00:00,"NEW YORK, NY",Vessel arrival
1416,HLBU9107397,2019-04-13 10:42:00,CALLAO,Gate out empty,2019-05-10 07:00:00,"VANCOUVER, BC",Vessel arrival
1417,UACU4094279,2019-04-04 18:37:00,CALLAO,Gate out empty,2019-05-26 08:00:00,CHENNAI,Vessel arrival
1418,HLBU1300624,2019-04-15 14:18:00,CALLAO,Gate out empty,2019-05-06 06:00:00,BUENAVENTURA,Vessel arrival
1419,HAMU1116089,2019-04-13 13:17:00,CALLAO,Gate out empty,2019-04-25 08:00:00,SAN ANTONIO,Vessel arrival
1420,UACU3691182,2019-04-13 12:04:00,CALLAO,Gate out empty,2019-04-25 08:00:00,SAN ANTONIO,Vessel arrival
1421,HLXU1095640,2019-04-12 15:36:00,CALLAO,Gate out empty,2019-04-20 10:00:00,GUAYAQUIL,Vessel arrival
1422,UACU3892340,2019-04-13 10:23:00,CALLAO,Gate out empty,2019-05-17 00:01:00,CALDERA,Vessel arrival
1423,UACU4008012,2019-04-16 10:01:00,CALLAO,Gate out empty,2019-06-15 06:00:00,BUSAN,Vessel arrival
1424,UACU8408613,2019-04-04 11:22:00,CALLAO,Gate out empty,2019-05-04 06:00:00,HAMBURG,Vessel arrival
1425,UACU8574297,2019-04-04 11:44:00,CALLAO,Gate out empty,2019-05-11 20:00:00,VALENCIA,Vessel arrival
1426,LNXU8452563,2019-04-15 17:21:00,VALPARAISO,Gate out empty,2019-05-14 07:00:00,ROTTERDAM,Vessel arrival
1427,HLBU9172828,2019-04-15 13:09:00,VALPARAISO,Gate out empty,2019-05-12 18:00:00,"SAN JUAN, PUERTO RICO",Vessel arrival
1428,HLBU9202769,2019-04-15 09:14:00,VALPARAISO,Gate out empty,2019-05-21 00:00:00,KLAIPEDA,Discharge
1429,HLXU6771157,2019-04-17 11:26:00,VALPARAISO,Gate out empty,2019-05-21 12:00:00,KEELUNG,Vessel arrival
1430,HLXU8751226,2019-04-15 18:36:00,VALPARAISO,Gate out empty,2019-05-07 07:00:00,"PHILADELPHIA, PA",Vessel arrival
1431,HLXU8763232,2019-04-15 16:41:00,VALPARAISO,Gate out empty,2019-05-16 05:00:00,LONDON GATEWAY PORT,Vessel arrival
1432,TGHU8927239,2019-04-05 17:33:00,VALPARAISO,Gate out empty,2019-05-11 06:00:00,HAMBURG,Vessel arrival
1433,HLXU3431488,2019-04-12 11:43:00,VALPARAISO,Gate out empty,2019-05-31 09:00:00,YANTAI,Vessel arrival
1434,UACU4764283,2019-04-12 16:19:00,VALPARAISO,Gate out empty,2019-05-30 14:00:00,NHAVA SHEVA,Vessel arrival
1435,HLBU1242385,2019-04-09 19:06:00,VALPARAISO,Gate out empty,2019-05-21 07:00:00,ROTTERDAM,Vessel arrival
1436,HLBU1321036,2019-04-18 02:51:00,CORONEL,Gate out empty,2019-05-27 21:00:00,SHANGHAI,Vessel arrival
1437,TGBU5800948,2019-04-17 21:57:00,CORONEL,Gate out empty,2019-05-01 15:00:00,CALLAO,Vessel arrival
1438,HLXU6575323,2019-04-15 13:25:00,SAN ANTONIO,Gate out empty,2019-05-05 23:00:00,PAITA,Vessel arrival
1439,HLXU8681900,2019-04-16 19:11:00,SAN ANTONIO,Gate out empty,2019-05-24 06:30:00,"VANCOUVER, BC",Vessel arrival
1440,UACU3746109,2019-04-11 19:55:00,VALPARAISO,Gate out empty,2019-05-31 09:00:00,YANTAI,Vessel arrival
1441,UASU1048902,2019-04-22 06:00:00,SAN ANTONIO,Loading,2019-04-29 10:00:00,GUAYAQUIL,Discharge
1442,HLXU8361784,2019-04-06 13:56:00,VALPARAISO,Gate out empty,2019-05-22 07:00:00,RAUMA,Vessel arrival
1443,HLBU9124476,2018-07-25 00:00:00,MANTA,Arrival in,2018-08-20 06:48:00,VIGO,Discharge
1444,HLXU8714623,2019-04-17 17:12:00,VALPARAISO,Gate out empty,2019-05-22 00:00:00,CEBU,Discharge
1445,HLXU1266466,2019-04-05 11:56:00,VALPARAISO,Gate out empty,2019-05-24 09:00:00,YANTAI,Vessel arrival
1446,HLBU9064736,2019-04-12 20:09:00,VALPARAISO,Gate out empty,2019-05-10 01:00:00,HONG KONG,Vessel arrival
1447,HLXU8706660,2019-04-11 09:47:00,VALPARAISO,Gate out empty,2019-05-15 06:00:00,"NORFOLK, VA",Vessel arrival
1448,HAMU1069496,2019-04-17 18:47:00,VALPARAISO,Gate out empty,2019-05-14 05:00:00,PUERTO LIMON,Vessel arrival
1449,UACU8530200,2019-04-05 13:03:00,VALPARAISO,Gate out empty,2019-06-19 07:00:00,RAUMA,Vessel arrival
1450,HLXU3505261,2019-04-18 20:20:00,VALPARAISO,Gate out empty,2019-05-06 19:00:00,MANZANILLO (PA),Vessel arrival
1451,TEMU1598654,2019-04-13 11:59:00,VALPARAISO,Gate out empty,2019-05-19 07:00:00,FELIXSTOWE,Vessel arrival
1452,HLBU2225504,2019-04-10 11:11:00,VALPARAISO,Gate out empty,2019-05-12 07:30:00,SALERNO,Vessel arrival
1453,HLXU3507963,2019-04-16 16:52:00,VALPARAISO,Gate out empty,2019-06-07 09:00:00,YANTAI,Vessel arrival
1454,HLXU1295079,2019-04-06 12:51:00,VALPARAISO,Gate out empty,2019-05-11 06:00:00,HAMBURG,Vessel arrival
