,carrier,container,elapsed_days,first_date,first_latitude,first_location,first_longitude,first_status,first_status_code,first_vehicle,last_date,last_latitude,last_location,last_longitude,last_status,last_status_code,last_vehicle
260,1,MNBU3756910,45.44027777777778,2019-02-22 03:00:00,31.2253441,"Shanghai Donghwa No.3 depot
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 13:34:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
261,1,MNBU0461120,45.24027777777778,2019-02-22 02:52:00,31.2253441,"Shanghai Donghwa No.3 depot
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 08:38:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
262,1,MRKU4290724,44.6,2019-02-22 23:18:00,31.2253441,"YANGSHAN, SGH GUANDONG TERMINAL
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 13:42:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
263,1,MSKU1690246,44.44375,2019-02-22 22:12:00,31.2253441,"YANGSHAN, SGH GUANDONG TERMINAL
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 08:51:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
264,1,MSKU9112265,44.71180555555556,2019-02-22 20:40:00,31.2253441,"Shanghai Dewell No 8 Depot
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 13:45:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
265,1,TGHU6962143,45.52777777777778,2019-02-22 01:20:00,31.2253441,"Shanghai Dewell No 8 Depot
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 14:00:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
266,1,MSKU0840716,44.770833333333336,2019-02-22 19:31:00,31.2253441,"YANGSHAN, SGH GUANDONG TERMINAL
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 14:01:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
267,1,MSKU0775380,44.72708333333333,2019-02-22 20:23:00,31.2253441,"Yangshan, SGH Shengdong Terminal
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 13:50:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
268,1,MSKU8213800,44.51875,2019-02-22 20:25:00,31.2253441,"Yangshan, SGH Shengdong Terminal
Shanghai, Shanghai, China",121.4888922,Empty,1,2,2019-04-08 08:52:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
269,1,MSKU1916626,54.61736111111111,2019-02-12 17:51:00,31.9827896,"SiNotrans Nantong
Nantong, Jiangsu, China",120.8904588,Empty,1,2,2019-04-08 08:40:00,-20.2140657,"Iquique Terminal Int. (ITI)
Iquique, Chile",-70.1524646,Gate out,8,2
