,carrier,container,elapsed_days,first_date,first_latitude,first_location,first_longitude,first_status,first_status_code,first_vehicle,last_date,last_latitude,last_location,last_longitude,last_status,last_status_code,last_vehicle
1441,2,HLBU1307402,58.136805555555554,2019-02-04 14:24:00,45.4972159,"MONTREAL, QC",-73.6103642,Gate out empty,1,2,2019-04-03 17:41:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1442,2,TGBU6129496,55.268055555555556,2019-02-07 13:07:00,45.4972159,"MONTREAL, QC",-73.6103642,Gate out empty,1,2,2019-04-03 19:33:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1443,2,UACU5136810,58.25069444444444,2019-02-04 14:25:00,45.4972159,"MONTREAL, QC",-73.6103642,Gate out empty,1,2,2019-04-03 20:26:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1444,2,UACU5906783,58.329861111111114,2019-02-04 12:53:00,45.4972159,"MONTREAL, QC",-73.6103642,Gate out empty,1,2,2019-04-03 20:48:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1445,2,UACU3728548,37.17986111111111,2019-02-25 08:21:00,29.7589382,"HOUSTON, TX",-95.3676974,Gate out empty,1,2,2019-04-03 12:40:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1446,2,HLBU1350610,41.02986111111111,2019-02-21 18:02:00,22.5630208,"ALTAMIRA, TAM",-98.1165183888334,Gate out empty,1,2,2019-04-03 18:45:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1447,2,HLBU1406853,42.12222222222222,2019-02-20 11:40:00,22.5630208,"ALTAMIRA, TAM",-98.1165183888334,Gate out empty,1,2,2019-04-03 14:36:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1448,2,HLBU9220818,53.84097222222222,2019-02-14 11:47:00,57.7072326,GOTHENBURG,11.9670171,Gate out empty,1,2,2019-04-09 07:58:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1449,2,UACU4804030,53.84236111111111,2019-02-14 11:44:00,57.7072326,GOTHENBURG,11.9670171,Gate out empty,1,2,2019-04-09 07:57:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1450,2,TEMU4862117,39.03333333333333,2019-02-25 11:33:00,51.434999,"DUISBURG, GERMANY",6.759562,Gate out empty,1,2,2019-04-05 12:21:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1451,2,TGHU0474049,46.052083333333336,2019-02-21 11:03:00,51.434999,"DUISBURG, GERMANY",6.759562,Gate out empty,1,2,2019-04-08 12:18:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1452,2,UACU4013024,58.918055555555554,2019-02-08 12:04:00,60.1713198,HELSINKI,24.9414566,Gate out empty,1,2,2019-04-08 10:06:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1453,2,HLBU1698550,38.72638888888889,2019-02-26 15:05:00,10.4195841,CARTAGENA (COLOMBIA),-75.5271224,Gate out empty,1,2,2019-04-06 08:31:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1454,2,CPSU5132609,43.9625,2019-02-21 19:30:00,-25.5121904,PARANAGUA,-48.5251854,Gate out empty,1,2,2019-04-06 18:36:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1455,2,UACU8142328,11.736805555555556,2019-04-02 14:08:00,-12.066667,CALLAO,-77.15,Gate out empty,1,2,2019-04-14 07:49:00,-2.1898771,GUAYAQUIL,-79.8877153,Discharged,7,1
1456,2,HAMU1011766,53.69722222222222,2019-02-18 18:33:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-13 11:17:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1457,2,HLBU1218769,53.03611111111111,2019-02-18 17:27:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-12 18:19:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
1458,2,HLBU1731257,51.85486111111111,2019-02-19 15:22:00,-34.9059039,MONTEVIDEO,-56.1913569,Gate out empty,1,2,2019-04-12 11:53:00,-12.066667,CALLAO,-77.15,Gate in empty,0,2
