container,carrier,timedelta,first_date,first_status,first_status_code,first_location,first_latitude,first_longitude,first_vehicle,last_date,last_status,last_status_code,last_location,last_latitude,last_longitude,last_vehicle
MRKU7844429,1,43.00763888888889,2019-02-19 12:26:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 12:37:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU3667559,1,42.735416666666666,2019-02-19 17:02:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 10:41:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU8714815,1,41.834722222222226,2019-02-19 13:39:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 09:41:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MSKU2292437,1,42.34305555555556,2019-02-19 13:39:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 21:53:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TEMU4968198,1,42.78888888888889,2019-02-19 17:02:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 11:58:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
MRKU7803311,1,42.09375,2019-02-19 16:30:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 18:45:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
PONU0006719,1,42.421527777777776,2019-02-19 13:56:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 00:03:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TGHU3209748,1,42.079166666666666,2019-02-19 12:35:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 14:29:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
PONU0375759,1,41.86805555555556,2019-02-19 12:40:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-02 09:30:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
TGHU3074806,1,42.87986111111111,2019-02-19 17:18:00,Empty,1,"Zhangjiagang Yongjia Terminal
Zhangjiagang, Jiangsu, China",31.8782976,120.5514595,2,2019-04-03 14:25:00,Gate out,8,"APM Terminals in Callao Port
Callao, Peru",-12.066667,-77.15,2
