container,carrier,timedelta,first_date,first_status,first_status_code,first_location,first_latitude,first_longitude,first_vehicle,last_date,last_status,last_status_code,last_location,last_latitude,last_longitude,last_vehicle
HLBU9182180,2,13.036805555555556,2019-03-21 09:26:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-03 10:19:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLXU8732674,2,13.475,2019-03-20 22:37:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-03 10:01:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
LNXU7550288,2,12.954166666666667,2019-03-21 01:52:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-03 00:46:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
LNXU8457565,2,13.497916666666667,2019-03-20 22:16:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-03 10:13:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
UAEU1241075,2,14.572222222222223,2019-03-21 19:18:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-05 09:02:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLBU9008199,2,34.77916666666667,2019-02-28 17:06:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-04 11:48:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLXU3461522,2,36.240972222222226,2019-02-26 11:07:00,Gate out empty,1,BUENOS AIRES,-34.6075616,-58.437076,2,2019-04-03 16:54:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLBU1258376,2,39.543055555555554,2019-02-28 02:39:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-08 15:41:00,Departure from,8,ARICA,-18.478518,-70.3210596,2
UACU8376748,2,50.84236111111111,2019-02-25 15:45:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-17 11:58:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLXU5040693,2,35.40069444444445,2019-03-07 08:52:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-11 18:29:00,Departure from,8,GUAYAQUIL,-2.1898771,-79.8877153,2
UACU8222953,2,37.05486111111111,2019-03-07 08:54:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-13 10:13:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
LNXU8457056,2,12.021527777777777,2019-03-22 11:27:00,Gate out empty,1,SAN ANTONIO,-33.5808615,-71.6132377,2,2019-04-03 11:58:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
TEMU1981637,2,41.67638888888889,2019-02-27 09:24:00,Gate out empty,1,BUENOS AIRES,-34.6075616,-58.437076,2,2019-04-10 01:38:00,Departure from,8,ANTOFAGASTA,-23.6463741,-70.3980033,2
UACU8555281,2,34.90972222222222,2019-02-27 17:24:00,Gate out empty,1,SANTOS,-23.960833,-46.333889,2,2019-04-03 15:14:00,Gate in empty,0,GUAYAQUIL,-2.1898771,-79.8877153,2
HLXU5305426,2,50.23888888888889,2019-02-25 14:40:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-16 20:24:00,Departure from,8,GUAYAQUIL,-2.1898771,-79.8877153,2
UACU8375715,2,50.36666666666667,2019-02-25 15:15:00,Gate out empty,1,RIO GRANDE (BRAZIL),-32.0334252,-52.0991297,2,2019-04-17 00:03:00,Departure from,8,GUAYAQUIL,-2.1898771,-79.8877153,2
