container,movement_count,first_date,first_location,first_status,last_date,last_location,last_status
UASU1014559,9,2019-03-16 09:57:00,SANTIAGO DE CHILE,Gate out empty,2019-04-21 13:00:00,"HOUSTON, TX",Vessel arrival
CSVU7502282,5,2019-03-21 20:45:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU9254891,5,2019-03-21 23:14:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU2072684,5,2019-03-21 09:51:00,ANTOFAGASTA,Gate out empty,2019-04-27 12:00:00,HAMBURG,Vessel arrival
HLXU6440360,5,2019-03-21 09:56:00,ANTOFAGASTA,Gate out empty,2019-04-27 12:00:00,HAMBURG,Vessel arrival
UACU4736595,5,2019-03-25 20:22:00,VALPARAISO,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLBU1296247,5,2019-03-21 11:00:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLXU6278979,5,2019-03-21 11:03:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLXU8379227,5,2019-03-21 13:38:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLXU5176144,5,2019-03-23 10:09:00,SANTIAGO DE CHILE,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
UACU3685488,13,2019-03-19 17:16:00,SANTIAGO DE CHILE,Gate out empty,2019-05-11 00:00:00,"BELFAST, NORTHERN IRELAND",Arrival in
TEMU5233401,7,2019-03-20 14:37:00,VALPARAISO,Gate out empty,2019-05-27 07:00:00,DURBAN,Vessel arrival
UACU3553347,7,2019-03-20 14:37:00,VALPARAISO,Gate out empty,2019-05-27 07:00:00,DURBAN,Vessel arrival
HLXU5351479,7,2019-03-07 15:42:00,VALPARAISO,Gate out empty,2019-05-07 00:00:00,FREDERICIA,Discharge
UACU8445134,12,2019-04-10 17:49:00,SAN ANTONIO,Arrival in,2019-05-21 15:00:00,FREDERICIA,Vessel arrival
HLBU1319260,7,2019-03-11 11:14:00,SANTIAGO DE CHILE,Gate out empty,2019-05-02 07:00:00,GDYNIA,Vessel arrival
HLBU1071370,9,2019-03-22 14:56:00,ANTOFAGASTA,Gate out empty,2019-05-08 22:00:00,BUSAN,Vessel arrival
UACU5619891,9,2019-03-22 12:12:00,ANTOFAGASTA,Gate out empty,2019-05-08 22:00:00,BUSAN,Vessel arrival
HLXU5122322,7,2019-03-19 15:09:00,VALPARAISO,Gate out empty,2019-05-02 00:00:00,OSLO,Discharge
HLBU9177727,5,2019-03-25 18:21:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLBU2057000,10,2019-03-19 11:01:00,VALPARAISO,Gate out empty,2019-04-19 01:00:00,MARIEL,Vessel arrival
HLXU5376610,5,2019-03-22 18:00:00,VALPARAISO,Gate out empty,2019-04-25 05:00:00,LONDON GATEWAY PORT,Vessel arrival
HLXU8743977,7,2019-03-25 13:40:00,VALPARAISO,Gate out empty,2019-05-03 18:31:00,SAINT PETERSBURG,Vessel arrival
HLBU1535911,7,2019-03-22 18:20:00,VALPARAISO,Gate out empty,2019-05-08 18:00:00,RIGA,Vessel arrival
UACU8561108,7,2019-03-23 12:40:00,VALPARAISO,Gate out empty,2019-05-06 07:00:00,COPENHAGEN,Vessel arrival
CPSU6417062,12,2019-03-08 15:29:00,SANTIAGO DE CHILE,Gate out empty,2019-04-26 00:00:00,"ATLANTA, GA",Arrival in
HLBU1697424,12,2019-03-16 09:52:00,SANTIAGO DE CHILE,Gate out empty,2019-04-26 00:00:00,"ATLANTA, GA",Arrival in
HLBU1890330,12,2019-03-14 18:15:00,SANTIAGO DE CHILE,Gate out empty,2019-04-26 00:00:00,"ATLANTA, GA",Arrival in
HLXU8041461,12,2019-03-15 10:45:00,SANTIAGO DE CHILE,Gate out empty,2019-04-26 00:00:00,"ATLANTA, GA",Arrival in
TGHU0325976,5,2019-03-21 17:50:00,PUERTO ANGAMOS,Gate out empty,2019-04-23 07:00:00,ROTTERDAM,Vessel arrival
HLXU1254260,7,2019-03-15 16:13:00,SANTIAGO DE CHILE,Gate out empty,2019-05-06 08:00:00,BILBAO,Vessel arrival
GATU1345351,9,2019-03-22 04:07:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLXU1187140,9,2019-03-22 04:07:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
HLXU3152565,9,2019-03-22 04:07:00,PUERTO ANGAMOS,Gate out empty,2019-05-06 12:00:00,DUNKERQUE,Vessel arrival
