container,date,status,location
EGHU9086190,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
EGHU9102182,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
EGSU9100347,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
EMCU9652840,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
EMCU9671060,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
EMCU9766231,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
EMCU9792858,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
EMCU9832478,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
GATU8766183,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
HMCU9066035,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
HMCU9129180,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
HMCU9169619,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
MAGU5292039,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
TEMU6075403,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
TEMU6178525,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
TEMU6447856,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
TEMU8965176,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
TGBU6523909,2019-03-23 00:00:00,Empty container returned,PUERTO QUETZAL (GT)
